City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,100,12.08,moderate rain
1,Butaritari,KI,3.0707,172.7902,80.69,70,38,12.15,scattered clouds
2,Punta Arenas,CL,-53.15,-70.9167,48.31,71,0,16.11,clear sky
3,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,24.16,light snow
4,Zhigansk,RU,66.7697,123.3711,10.67,84,49,5.48,scattered clouds
5,New Norfolk,AU,-42.7826,147.0587,72.91,42,53,4.0,broken clouds
6,Bluff,NZ,-46.6,168.3333,60.39,74,18,9.4,few clouds
7,Dukat,RU,62.55,155.55,9.57,84,100,3.96,overcast clouds
8,Buala,SB,-8.145,159.5921,83.44,75,77,3.18,light rain
9,Bredasdorp,ZA,-34.5322,20.0403,62.62,64,100,12.82,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-13.94,58,21,7.96,few clouds
11,Nikolskoye,RU,59.7035,30.7861,37.87,99,100,3.85,overcast clouds
12,Lebu,CL,-37.6167,-73.65,54.64,82,2,20.85,clear sky
13,Leninskoye,KZ,41.7589,69.3864,37.76,77,13,4.61,few clouds
14,Mahebourg,MU,-20.4081,57.7,79.09,83,40,3.44,scattered clouds
15,Cabedelo,BR,-6.9811,-34.8339,75.87,82,73,7.27,broken clouds
16,Atuona,PF,-9.8,-139.0333,79.61,78,98,18.57,overcast clouds
17,Rostovka,RU,55.3842,71.8891,28.92,91,100,16.71,overcast clouds
18,Cockburn Town,TC,21.4612,-71.1419,77.97,81,0,25.59,clear sky
19,Kapaa,US,22.0752,-159.319,80.58,81,43,5.01,scattered clouds
20,Namibe,AO,-15.1961,12.1522,72.45,85,60,8.23,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,79.59,72,94,14.43,overcast clouds
22,Aklavik,CA,68.2191,-135.0107,-0.26,92,75,11.81,broken clouds
23,Anloga,GH,5.7947,0.8973,82.2,82,84,12.57,broken clouds
24,Ponta Delgada,PT,37.7333,-25.6667,59.72,77,40,16.11,scattered clouds
25,Beloha,MG,-25.1667,45.05,71.15,76,0,5.23,clear sky
26,Haimen,CN,23.1935,116.6142,62.49,93,100,7.67,overcast clouds
27,Hilo,US,19.7297,-155.09,78.12,73,20,1.99,few clouds
28,Buea,CM,4.1527,9.241,70.07,91,100,2.44,overcast clouds
29,Tura,IN,25.5198,90.2201,77.7,68,71,9.17,broken clouds
30,Ushuaia,AR,-54.8,-68.3,47.86,61,40,17.27,scattered clouds
31,Kavaratti,IN,10.5669,72.642,82.18,68,6,5.14,clear sky
32,Hermanus,ZA,-34.4187,19.2345,58.8,73,100,16.67,overcast clouds
33,Oranjemund,NA,-28.55,16.4333,59.16,97,8,8.43,clear sky
34,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,57.2,57,0,4.45,clear sky
35,Saskylakh,RU,71.9167,114.0833,-3.26,96,100,4.38,overcast clouds
36,Mount Gambier,AU,-37.8333,140.7667,64.31,63,100,9.22,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,0.12,55,20,8.05,few clouds
38,Khatanga,RU,71.9667,102.5,-1.23,92,100,1.83,overcast clouds
39,Ketchikan,US,55.3422,-131.6461,48.18,83,100,7.34,overcast clouds
40,Sorland,NO,67.667,12.6934,34.68,63,100,11.07,overcast clouds
41,Salalah,OM,17.0151,54.0924,69.89,52,0,3.44,clear sky
42,Pevek,RU,69.7008,170.3133,3.72,95,99,5.12,overcast clouds
43,Dikson,RU,73.5069,80.5464,10.26,89,87,15.19,overcast clouds
44,Avarua,CK,-21.2078,-159.775,78.85,83,100,2.3,overcast clouds
45,Bethel,US,41.3712,-73.414,43.9,93,100,7.0,moderate rain
46,Hithadhoo,MV,-0.6,73.0833,83.82,69,25,19.35,scattered clouds
47,Bonavista,CA,48.6499,-53.1147,28.13,78,80,27.56,broken clouds
48,Wakkanai,JP,45.4094,141.6739,39.18,75,40,9.22,scattered clouds
49,Port Alfred,ZA,-33.5906,26.891,67.57,79,91,17.52,moderate rain
