City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Kruisfontein,ZA,59.88,moderate rain,-34.0033,24.7314,Oyster Bay House Rental
6,Bluff,NZ,60.39,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Bredasdorp,ZA,62.62,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Lebu,CL,54.64,clear sky,-37.6167,-73.65,Hostal Las Lilas
24,Ponta Delgada,PT,59.72,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
26,Haimen,CN,62.49,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
32,Hermanus,ZA,58.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Presidencia Roque Saenz Pena,AR,57.2,clear sky,-26.7852,-60.4388,Hotel Gualok
36,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,The Commodore
41,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
49,Port Alfred,ZA,67.57,moderate rain,-33.5906,26.891,The Halyards Hotel
62,Ribeira Grande,PT,60.66,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
64,San Patricio,US,65.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
65,Tiznit,MA,52.02,broken clouds,29.5833,-9.5,
67,Castro,BR,64.49,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
68,Los Llanos De Aridane,ES,56.12,clear sky,28.6585,-17.9182,Valle Aridane
72,Rabat,MA,50.04,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
76,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
78,Puerto Del Rosario,ES,62.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
79,Chuy,UY,55.83,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Tuatapere,NZ,64.56,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
81,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
86,Camacha,PT,56.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
87,Qidong,CN,59.94,moderate rain,31.8128,121.6561,Hilton Garden Inn Qidong
90,Guerrero Negro,MX,65.52,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
95,Mataura,NZ,67.73,few clouds,-46.1927,168.8643,Ellie's Villa
97,Mar Del Plata,AR,61.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
98,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
100,Santa Catarina,BR,61.36,overcast clouds,-27.0,-50.0,Hotel e Restaurante da Emily - Hotel Salete
103,Avera,US,55.45,overcast clouds,33.194,-82.5271,
113,Fortuna,US,50.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
117,La Grande,US,51.03,scattered clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
118,Ulladulla,AU,68.9,broken clouds,-35.35,150.4667,Sandpiper Motel
127,Mandali,IQ,52.7,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
144,Adrar,MR,62.29,clear sky,20.5022,-10.0711,
154,Hasaki,JP,63.28,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
163,Necochea,AR,61.56,light rain,-38.5473,-58.7368,dyd -mar Hotel
167,Ahipara,NZ,68.65,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
175,Riyadh,SA,60.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
177,Springbok,ZA,58.66,clear sky,-29.6643,17.8865,Undulata Country Lodge
179,Portland,US,58.55,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
180,Andrelandia,BR,62.47,few clouds,-21.7397,-44.3092,Hotel Real
181,Elat,IL,51.64,scattered clouds,29.5581,34.9482,Club Hotel Eilat
182,Coahuayana,MX,67.33,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
184,Ayacucho,PE,54.7,light rain,-13.1583,-74.2239,Hotel Incasol
185,Colac,AU,66.16,clear sky,-38.3333,143.5833,Otway Gate Motel
188,Xunchang,CN,61.84,overcast clouds,28.4543,104.715,Jiabin Inn
189,Ancud,CL,54.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
194,Praia,CV,66.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
197,Asosa,ET,67.53,clear sky,10.0667,34.5333,Blendana Hotel Assosa
199,Russell,US,53.11,clear sky,32.3502,-85.1999,Macs
206,Callosa De Segura,ES,58.98,overcast clouds,38.125,-0.8782,Versalles Hotel
210,Sterling,US,53.22,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
212,Lata,PT,55.92,overcast clouds,40.1629,-8.3327,Casa Maquia
220,Ponta Do Sol,PT,62.01,broken clouds,32.6667,-17.1,Hotel do Campo
223,Port Elizabeth,ZA,62.89,light intensity drizzle rain,-33.918,25.5701,39 On Nile Guest House
227,Lagoa,PT,59.79,overcast clouds,39.05,-27.9833,Casa Das Faias
228,Te Anau,NZ,65.61,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
232,Correggio,IT,51.96,clear sky,44.7698,10.7823,Hotel President
242,Naze,JP,64.74,overcast clouds,28.3667,129.4833,Shishime Hotel
243,Virginia Beach,US,68.04,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
245,Malanje,AO,62.58,overcast clouds,-9.5402,16.341,Hotel Ginga
256,East London,ZA,68.77,broken clouds,-33.0153,27.9116,Tu Casa
258,Havelock,US,64.94,moderate rain,34.8791,-76.9013,Sherwood Motel
260,Christchurch,NZ,65.95,scattered clouds,-43.5333,172.6333,The George
263,Chaman,PK,64.38,clear sky,30.9236,66.4512,Niamat parda Center chaman
267,Kadoma,JP,67.17,scattered clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
270,Lompoc,US,66.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
274,Misratah,LY,54.88,clear sky,32.3754,15.0925,Almasa Hotel
282,Albert Town,JM,64.8,clear sky,18.2943,-77.5424,Meridian guest house
290,San Cristobal,VE,68.16,clear sky,7.7669,-72.225,Pirineos
299,Realeza,BR,65.68,moderate rain,-25.7689,-53.5325,Hotel Renascer
300,Shingu,JP,60.26,broken clouds,33.7333,135.9833,Shingu UI Hotel
303,Ponferrada,ES,52.21,overcast clouds,42.5466,-6.5962,Hotel Temple Ponferrada
304,El Prat De Llobregat,ES,55.74,few clouds,41.3278,2.0947,Hotel Porta Fira
308,Valdivia,CL,53.69,clear sky,-39.8142,-73.2459,Hostal Entre Rios
321,Cerrito,CO,55.22,broken clouds,6.8432,-72.694,Yariseth juliana
325,Concepcion,CL,55.2,clear sky,-36.827,-73.0498,Hotel El Araucano
327,Teguise,ES,59.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
329,Marsabit,KE,65.7,scattered clouds,2.3284,37.9899,Chicho Hotel
332,Nagato,JP,60.85,overcast clouds,34.3833,131.2,いそう庵
333,Saiki,JP,61.65,overcast clouds,32.95,131.9,（株）サンテツ
341,Sao Filipe,CV,69.49,scattered clouds,14.8961,-24.4956,Hotel Xaguate
345,Mayo,US,51.75,mist,38.8876,-76.5119,Resorts Resource Group International
346,Urubamba,PE,59.9,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
351,Rimini,IT,54.14,clear sky,44.0241,12.5186,La combriccola B&B
353,Reconquista,AR,55.67,clear sky,-29.15,-59.65,Grand Hotel
355,Kijang,KR,58.41,overcast clouds,35.2442,129.2139,Samyang Beach Villa
363,Ambatondrazaka,MG,66.51,overcast clouds,-17.8333,48.4167,MANAMBINA Hotel
364,Pandamatenga,BW,63.86,broken clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
368,Teofilo Otoni,BR,67.71,scattered clouds,-17.8575,-41.5053,Hotel Nobre Palace
379,Vila,PT,52.68,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
385,Tres De Maio,BR,65.98,overcast clouds,-27.7733,-54.24,Hotel SABOR e ACONCHEGO
391,Talcahuano,CL,54.9,clear sky,-36.7167,-73.1167,departamento comodo
396,Villa Carlos Paz,AR,52.9,clear sky,-31.4241,-64.4978,Monte Carlo vcp
400,Abapo,BO,63.48,overcast clouds,-18.8333,-63.4667,
402,Praia Da Vitoria,PT,60.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
405,Waipawa,NZ,55.29,light rain,-41.4122,175.5153,Tora Coastal Walk
414,Zinapecuaro,MX,63.25,clear sky,19.8667,-100.8167,Hotel Mesón Pocitos
417,Pacific Grove,US,55.81,overcast clouds,36.6177,-121.9166,Lovers Point Inn
